team,total_death_runs,matches,avg_death_runs
Royal Challengers Bengaluru,611,15,40.733333333333334
Gujarat Titans,1823,45,40.51111111111111
Lucknow Super Giants,1718,44,39.04545454545455
Chennai Super Kings,9061,237,38.232067510548525
Mumbai Indians,9598,261,36.77394636015325
Punjab Kings,2047,56,36.55357142857143
Royal Challengers Bangalore,8417,240,35.07083333333333
Rising Pune Supergiant,555,16,34.6875
Delhi Capitals,3141,91,34.51648351648352
Sunrisers Hyderabad,6237,182,34.26923076923077
Deccan Chargers,2539,75,33.85333333333333
Rajasthan Royals,7281,220,33.095454545454544
Kings XI Punjab,6227,190,32.77368421052632
Kolkata Knight Riders,8053,251,32.08366533864542
Rising Pune Supergiants,443,14,31.642857142857142
Delhi Daredevils,5043,161,31.322981366459626
Gujarat Lions,921,30,30.7
Pune Warriors,1360,45,30.22222222222222
Kochi Tuskers Kerala,337,14,24.071428571428573
