bowler,runs_conceded,overs,economy
A Ashish Reddy,400,44.0,9.090909090909092
A Chandila,245,39.0,6.282051282051282
A Kumble,1089,161.66666666666666,6.736082474226804
A Mishra,4193,565.3333333333334,7.416863207547169
A Mithun,477,49.5,9.636363636363637
A Nehra,2537,319.5,7.940532081377151
A Nortje,1614,177.0,9.11864406779661
A Singh,639,79.0,8.08860759493671
A Symonds,694,88.0,7.886363636363637
A Zampa,562,69.83333333333333,8.047732696897375
AA Chavan,339,41.333333333333336,8.201612903225806
AB Agarkar,1174,130.66666666666666,8.98469387755102
AB Dinda,2103,255.0,8.24705882352941
AB McDonald,263,31.0,8.483870967741936
AC Thomas,416,52.833333333333336,7.873817034700315
AD Mascarenhas,365,51.333333333333336,7.1103896103896105
AD Mathews,1095,132.0,8.295454545454545
AD Russell,2691,284.5,9.458699472759227
AF Milne,339,34.666666666666664,9.778846153846155
AG Murtaza,322,44.0,7.318181818181818
AJ Tye,1005,114.5,8.777292576419214
AK Markram,173,20.333333333333332,8.508196721311476
AM Nayar,323,38.166666666666664,8.462882096069869
AM Salvi,205,25.0,8.2
AN Ahmed,515,58.166666666666664,8.853868194842407
AR Patel,3824,517.5,7.389371980676328
AS Joseph,707,72.5,9.751724137931035
AS Rajpoot,844,89.83333333333333,9.39517625231911
AS Roy,191,22.666666666666668,8.426470588235293
Abhishek Sharma,396,45.166666666666664,8.767527675276753
Akash Deep,324,28.0,11.571428571428571
Akash Madhwal,431,44.833333333333336,9.613382899628252
Akash Singh,227,23.0,9.869565217391305
Anand Rajan,206,25.0,8.24
Ankit Sharma,453,61.166666666666664,7.405994550408719
Anureet Singh,636,69.83333333333333,9.107398568019093
Arshad Khan,282,22.333333333333332,12.626865671641792
Arshdeep Singh,2097,228.16666666666666,9.19065010956903
Avesh Khan,2010,223.16666666666666,9.0067214339059
Azhar Mahmood,707,90.33333333333333,7.826568265682657
Azmatullah Omarzai,194,21.0,9.238095238095237
B Akhil,246,31.5,7.809523809523809
B Kumar,5051,653.6666666666666,7.727180010198879
B Laughlin,284,28.166666666666668,10.08284023668639
B Lee,1126,148.0,7.608108108108108
B Stanlake,200,24.0,8.333333333333334
BA Bhatt,408,49.5,8.242424242424242
BA Stokes,1023,115.5,8.857142857142858
BAW Mendis,306,40.833333333333336,7.493877551020407
BB Sran,767,81.0,9.469135802469136
BCJ Cutting,430,46.833333333333336,9.181494661921707
BE Hendricks,239,25.166666666666668,9.496688741721854
BJ Hodge,310,39.0,7.948717948717949
BW Hilfenhaus,497,62.5,7.952
Basil Thampi,862,87.0,9.908045977011493
Bipul Sharma,581,71.0,8.183098591549296
C Green,675,73.33333333333333,9.204545454545455
C Sakariya,610,71.83333333333333,8.491879350348029
C de Grandhomme,323,36.333333333333336,8.889908256880734
CH Gayle,755,92.83333333333333,8.132854578096948
CH Morris,2377,288.5,8.239168110918545
CJ Anderson,525,49.5,10.606060606060606
CJ Jordan,1111,113.16666666666667,9.817378497790868
CK Langeveldt,199,26.166666666666668,7.6050955414012735
CR Brathwaite,384,42.833333333333336,8.964980544747082
CR Woakes,674,73.5,9.170068027210885
CRD Fernando,306,39.666666666666664,7.714285714285714
CV Varun,2042,266.0,7.676691729323308
D Pretorius,242,25.0,9.68
D Wiese,447,49.5,9.030303030303031
DE Bollinger,716,96.33333333333333,7.432525951557094
DJ Bravo,4436,521.5,8.506232023010547
DJ Hooda,535,62.166666666666664,8.605898123324398
DJ Hussey,485,52.833333333333336,9.17981072555205
DJ Willey,277,36.0,7.694444444444445
DJG Sammy,354,39.666666666666664,8.92436974789916
DL Chahar,2243,279.0,8.039426523297491
DL Vettori,894,129.5,6.903474903474904
DP Nannes,815,108.33333333333333,7.523076923076923
DP Vijaykumar,205,25.666666666666668,7.987012987012987
DR Sams,528,60.333333333333336,8.751381215469612
DR Smith,825,90.5,9.116022099447514
DS Kulkarni,2513,299.0,8.404682274247492
DT Christian,1218,147.66666666666666,8.248306997742665
DW Steyn,2583,364.8333333333333,7.079945180447694
FH Edwards,160,23.5,6.808510638297872
Fazalhaq Farooqi,229,25.333333333333332,9.039473684210527
G Coetzee,357,33.666666666666664,10.603960396039605
GB Hogg,585,76.5,7.647058823529412
GC Viljoen,229,23.0,9.956521739130435
GD McGrath,366,54.166666666666664,6.756923076923077
GJ Maxwell,1311,157.33333333333334,8.332627118644067
HF Gurney,239,27.166666666666668,8.797546012269938
HH Pandya,2196,237.16666666666666,9.259311314125089
HR Shokeen,320,34.333333333333336,9.320388349514563
HV Patel,3215,363.0,8.856749311294767
Harbhajan Singh,4101,570.0,7.1947368421052635
Harmeet Singh,747,92.16666666666667,8.104882459312838
Harpreet Brar,907,113.16666666666667,8.014727540500736
Harshit Rana,590,64.5,9.147286821705427
I Sharma,3255,388.6666666666667,8.374785591766724
I Udana,286,29.0,9.862068965517242
IC Pandey,609,77.33333333333333,7.875000000000001
IK Pathan,2711,340.6666666666667,7.957925636007827
IS Sodhi,204,30.166666666666668,6.762430939226519
Imran Tahir,1729,219.5,7.876993166287016
Iqbal Abdulla,1125,153.33333333333334,7.33695652173913
J Botha,818,115.66666666666667,7.072046109510087
J Little,341,38.0,8.973684210526315
J Suchith,604,70.0,8.628571428571428
J Syed Mohammad,286,32.0,8.9375
J Theron,311,37.166666666666664,8.367713004484305
J Yadav,447,65.33333333333333,6.841836734693878
JA Morkel,2409,289.3333333333333,8.326036866359448
JC Archer,1210,158.83333333333334,7.618048268625393
JD Ryder,314,39.333333333333336,7.983050847457626
JD Unadkat,3219,355.3333333333333,9.059099437148218
JDP Oram,362,39.666666666666664,9.126050420168069
JDS Neesham,342,36.0,9.5
JEC Franklin,225,25.5,8.823529411764707
JH Kallis,2348,291.8333333333333,8.045688178183896
JJ Bumrah,3840,518.0,7.413127413127413
JL Pattinson,321,35.5,9.04225352112676
JO Holder,1489,166.33333333333334,8.95190380761523
JP Behrendorff,563,61.0,9.229508196721312
JP Duminy,847,113.0,7.495575221238938
JP Faulkner,1849,207.16666666666666,8.925181013676589
JR Hazlewood,830,100.83333333333333,8.231404958677686
JR Hopes,562,60.0,9.366666666666667
Joginder Sharma,421,43.833333333333336,9.604562737642585
K Gowtham,825,98.0,8.418367346938776
K Kartikeya,334,39.0,8.564102564102564
K Khejroliya,221,20.5,10.78048780487805
K Rabada,2652,306.6666666666667,8.64782608695652
KA Jamieson,271,28.5,9.508771929824562
KA Pollard,2200,249.33333333333334,8.823529411764705
KC Cariappa,349,36.333333333333336,9.605504587155963
KH Pandya,2644,354.1666666666667,7.465411764705882
KK Ahmed,1918,213.5,8.98360655737705
KK Cooper,789,96.16666666666667,8.204506065857885
KL Nagarkoti,287,30.0,9.566666666666666
KM Asif,232,22.5,10.311111111111112
KMA Paul,239,28.0,8.535714285714286
KP Appanna,291,36.0,8.083333333333334
KP Pietersen,218,29.0,7.517241379310345
KR Sen,396,40.5,9.777777777777779
KV Sharma,2130,249.16666666666666,8.548494983277592
KW Richardson,479,55.833333333333336,8.57910447761194
Kamran Khan,248,27.833333333333332,8.910179640718564
Karanveer Singh,323,34.0,9.5
Kartik Tyagi,720,71.66666666666667,10.046511627906977
Kuldeep Yadav,2413,291.3333333333333,8.282608695652174
L Balaji,2083,252.66666666666666,8.244063324538258
L Ngidi,460,54.333333333333336,8.466257668711656
LE Plunkett,228,25.0,9.12
LH Ferguson,1451,161.16666666666666,9.003102378490176
LR Shukla,458,52.666666666666664,8.69620253164557
LS Livingstone,395,43.0,9.186046511627907
Lalit Yadav,430,48.166666666666664,8.92733564013841
M Ashwin,1182,145.5,8.123711340206185
M Jansen,732,76.33333333333333,9.589519650655022
M Kartik,1418,192.33333333333334,7.37261698440208
M Markande,1081,120.16666666666667,8.995839112343967
M Morkel,2136,273.6666666666667,7.805115712545676
M Muralitharan,1765,255.0,6.921568627450981
M Ntini,257,35.333333333333336,7.2735849056603765
M Pathirana,617,75.33333333333333,8.190265486725664
M Prasidh Krishna,1741,194.66666666666666,8.943493150684931
M Theekshana,814,104.0,7.826923076923077
MA Starc,1175,139.0,8.453237410071942
MA Wood,192,20.166666666666668,9.520661157024794
MC Henriques,1302,158.5,8.214511041009464
MF Maharoof,532,70.83333333333333,7.510588235294118
MG Johnson,1740,207.33333333333334,8.392282958199356
